구분,명칭,유의어
소속3,"Ministry of Environment, water, and Agriculture","환경, 물, 농업부"
소속3,President of the General Assembly 77th session,77차 총회 의장
소속3,Office of the President of the General Assembly,일반 총회 회장의 사무실
소속3,Haya Rashed Al Khalifa,하야 라쉬드 알 칼리파
소속3,EU,유럽연합(EU)
소속3,President of the General Assembly 66th session,제66차 유엔 총회 의장
소속3,주한 우크라이나 대사관,주한 우크라이나 대사관
소속3,Bucha city Council,부차 시의회
소속3,"The State Agency for Restoration and
Infrastructure Development of Ukraine",우크라이나 복구 및 인프라 개발 국가청
소속3,Ministry of environment Protection and Natural Resources of Ukraine,우크라이나 환경보호 및 자연자원부
소속3,Kherson Regional Military Administration,헤르손 주 군사 행정청
소속3,Kyiv city council,키이우 시의회
소속3,National Congress,국회
소속3,Cabinet of Ministers of Ukraine,우크라이나 장관회의
소속3,Uman City Council,우만 시의회
소속3,Ukrhydroenergo,우크라이나 수력발전 회사
소속3,Deltares,델타레스(네덜란드의 물과 지하환경 연구소)
소속3,Colorado State University (CSU),콜로라도 주립 대학교 (CSU)
소속3,Community Welfare Foundation (CWF),지역 복지 재단 (CWF)
소속3,University of Geneva (UNIGE),제네바 대학교 (UNIGE)
소속3,National University of Singapore_Tropical Marine Science Institute (NUS_TMSI),싱가포르 국립대학교_열대해양과학연구소 (NUS_TMSI)
소속3,Indonesia Water Institute (IWI),인도네시아 물 연구소 (IWI)
소속3,Indonesian Association of Hydraulic Engineers (IAHE),인도네시아 유압 엔지니어 협회 (IAHE)
소속3,Tokyo City University (TCU),도쿄도시대학 (TCU)
소속3,University of Tokyo (UTokyo),도쿄 대학교 (UTokyo)
소속3,Changjiang River Scientific Research Institute (CRSRI) ,장강 과학 연구원 (CRSRI)
소속3,Chinese Hydraulic Engineering Society (CHES),중국 수력 공학회 (CHES)
소속3,Hohai University (HHU),호하이 대학교 (HHU)
소속3,Institute of Water Resources and Hydropower Research (IWHR),물자원 및 수력 연구소 (IWHR)
소속3,Lancang-Mekong Water Resources Cooperation Center (LMC Water Center),랑총-메콩 물자원 협력 센터 (LMC 물 센터)
소속3,Nanjing Hydraulic Research Institute (NHRI),난징 유압 연구소 (NHRI)
소속3,North China University of Water Resources and Electric Power (NCWU),북중국 수자원 및 전력 대학 (NCWU)
소속3,Peking University (PKU),베이징 대학교 (PKU)
소속3,Tsinghua University (THU),칭화 대학교 (Chinghwa Daehakgyo)
소속3,General Institute of Water Resources and Hydropower Planning and Design (GIWP),일반 수자원 및 수력 계획 및 디자인 연구소 (GIWP)
소속3,Asian Institute of Technology (AIT),아시아 공과대학 (AIT)
소속3,Rangsit University (RSU),랑싯 대학교 (RSU)
소속3, Aqua Smart ICT for Water,스마트 물 관리 ICT
소속3,KDI 국제정책대학원,KDI 국제정책대학원
소속3,한밭대학교,한밭대학교
소속3,김&장 법률사무소,김&장 법률사무소
소속3,SK 하이닉스,SK 하이닉스
소속3,힐스포레,힐스포레
소속3,한국환경연구원,한국환경연구원
소속3,Akvo Foundation ,아크보 파운데이션
소속3,International Business Machines (IBM),국제 비즈니스 머신 (IBM)
소속3,Crazy About Water,크레이지 어바웃 워터
소속3,The GoodWater Company,더 굿워터 컴퍼니
소속3,Hill Dickinson,힐 디킨슨
소속3,JSC Nenskra Hydro,JSC 넨스크라 하이드로
소속3,China Water Investment Co. Ltd (HHO),중국 수자원 투자 유한회사 (HHO)
소속3,Changjiang Institute or Survey Planning Design And Research(CISPDR Corporation),"장강 조사, 계획, 설계 및 연구원 (CISPDR 회사)"
소속3,"China Water Resources Pearl River Planning Surveying & Designing Co., Ltd. (PRPSDC)",중국 수자원 진주강 계획 조사 및 설계 주식회사 (PRPSDC)
소속3,"Yellow River Engineering Consulting Co., Ltd (YREC)",황하 공정 컨설팅 유한회사 (YREC)
소속3,Honghe Prefecture Water Resources and Hydropower Survey and Design Institute in Yunnan Province (HWRSI),윈난성 홍허 자치주 수자원 및 수력 조사 설계 연구소 (HWRSI)
소속3,STAR Hydropower Limited (SHPL),STAR 수력발전 유한회사 (SHPL)
소속3,Luzon Clean Water Development Corporation,루손 청정수 개발 회사
소속3,Manila Water Company Inc. (MWCI),마닐라 워터 회사 주식회사 (MWCI)
소속3,Maynilad Water Services Inc. (MWSI),메이닐라드 워터 서비스 주식회사 (MWSI)
소속3,IGS Asia Pacific Pty Ltd.,IGS 아시아 태평양 유한회사
소속3,Ministry of Energy and Mines (MEM),에너지 및 광산부 (MEM)
소속3,Ministry of Public Works and Transport (MPWT),공공사업 및 교통부 (MPWT)
소속3,Dept. of Water Resources of the Ministry of Natural Resource and Environment (MONRE),자연자원 및 환경부 (MONRE)의 수자원부서
소속3,Ministry of Energy and Natural Resources (KeTSA),에너지 및 천연 자원부 (KeTSA)
소속3,"Ministry of Science, Technology, and Innovation (MOSTI)",과학 기술 혁신부 (MOSTI)
소속3,Ministry of Environment and Tourism (MoET),환경 관광부 (MoET)
소속3,"Ministry of Agriculture, Livestock and Irrigation (MOALI)","농업, 축산 및 관개부 (MOALI)"
소속3,Ministry of Water Resources (MOWR),물 자원부 (Mool Jahwonbu)
소속3,Ministry of Natural Resources and Environment (MONRE),자연자원 및 환경부 (MONRE)
소속3,Ministry of Public Works and Housing (MPWH),공공사업 및 주택부 (MPWH)
소속3,Ministry of Water Resources (MWR),물자원부 (MWR)
소속3,Ministry of Water Resources and Meteorology (MOWRAM),물 자원 및 기상청 부서 (MOWRAM)
소속3,Ministry of Agriculture and Cooperatives (MOAC),농업 및 협동조합부 (MOAC)
소속3,Office of the National Water Resources (ONWR),국가 수자원 사무소 (ONWR)
소속3,Royal Irrigation Department (RID),왕립 관개청 (RID)
소속3,Local Water Utilities Administration (LWUA),지방 수도 관리청 (LWUA)
소속3,Metropolitan Waterworks and Sewerage System (MWSS),메트로폴리탄 수도 및 하수도 시스템 (MWSS)
소속3,Society of Public Health Engineers Nepal(SOPHEN),네팔 공중보건 엔지니어 협회 (SOPHEN)
소속3,SMART WASH Solutions,스마트 워시 솔루션스
소속3,The Resources Centre (TRC),자원 센터 (TRC)
소속3,The Third Pole,더 서드 폴
소속3,Mekong River Commission (MRC),메콩강 위원회 (MRC)
소속3,Water Links,워터 링크스
소속3,Society for People’s Action in Change and Equity (SPACE),변화와 평등을 위한 시민 행동 협회 (SPACE)
소속3,"Global Institute for Water, Environment and Health (GIWEH)","세계 물, 환경 및 건강 연구소 (GIWEH)"
소속3,International Union for Conservation of Nature and Natural Resources (IUCN),자연보호와 자원보존을 위한 국제연맹 (IUCN)
소속3,International Association for Hydro-Environment Engineering and Research (IAHR),국제 수자원 환경 공학 연구협회 (IAHR)
소속3,Cape Partnership,케이프 파트너십
소속3,Global Water Partnership Central Asia and Caucasus,중앙아시아 및 남캅카스 글로벌 물 파트너십
소속3,Agency of International Fund for Saving the Aral Sea for project implementation in Uzbekistan (Agency of IFAS),우즈베키스탄에서 프로젝트 실행을 위한 아랄해 구제 국제 기금 기관 (IFAS 기관)
소속3,AWC Indonesia,AWC 인도네시아
소속3,Global Water Partnership South East Asia (GWP SEA),동남아시아 글로벌 물 파트너십 (GWP SEA)
소속3,Food and Agriculture Organization of the United Nations (UNFAO),유엔 식량 농업 기구 (UNFAO)
소속3,Gomal Damaan Area Water Partnership(GDAWP),고말 다만 지역 물 파트너십 (GDAWP)
소속3,International Water Resources Association (IWRA),국제 수자원 협회 (IWRA)
소속3,Action Against Hunger / Action Contre La Faim (ACF),국제 기아 구호 단체 / 기아에 맞서는 행동 (ACF)
소속3,International Commission on Large Dams (ICOLD),국제 대형 댐 위원회 (ICOLD)
소속3,International Network of Basin Organization(INBO),국제 유역 조직 네트워크 (INBO)
소속3,UNESCO– International Hydrological Programme (UNESCO-IHP),유네스코 - 국제 수자원 프로그램 (유네스코-IHP)
소속3,Australian Water Partnership (AWP),호주 워터 파트너십 (AWP)
소속3,Mizuho Bank (MHBK),미즈호 은행 (MHBK)
소속3,World Bank (WB),월드 뱅크 (WB)
소속3,Lao National Mekong Committee Secretariat (LNMCS),라오 국가 메콩 위원회 사무국 (LNMCS)
소속3,Dhaka Water Supply and Sewerage Authority (DWASA),다카 수도 및 하수도 관리청 (DWASA)
소속3,National Center for Water Resources Planning and Investigation (NAWAPI),국립 수자원 계획 및 조사 센터 (NAWAPI)
소속3,Public Utilities Board (PUB),공공서비스위원회 (PUB)
소속3,Perum Jasa Tirta 1 (PJT1),페룸 자사 티르타 1 (PJT1) 인도네시아 물관리 기업
소속3,Perum Jasa Tirta 2 (PJT2),페룸 자사 티르타 2 (PJT2) 인도네시아 물관리 기업
소속3,JSC Partnership Fund,JSC 파트너십 펀드
소속3,Changjiang Water Resources Commission (CWRC),장강 수자원 위원회 (CWRC)
소속3,Metropolitan Waterworks Authority (MWA),도시 수도 관리청 (MWA)
소속3,Water Services Regulatory Commission (WSRC),수자원 서비스 규제 위원회 (WSRC)
소속3,국토교통과학기술진흥원,국토교통과학기술진흥원
소속3,한국수자원공사,한국수자원공사
소속3,대진대학교,대진대학교
소속3,한국국제협력단,한국국제협력단
소속3,한국과학기술원,한국과학기술원
소속3,한-메콩 물관리 공동연구센터,한-메콩 물관리 공동연구센터
소속3,한국농촌경제연구원,한국농촌경제연구원
소속3,한국농어촌공사,한국농어촌공사
소속3,에코스마트상수도시스템개발사업단,에코스마트상수도시스템개발사업단
소속3,한-아세안센터,한-아세안센터
소속3,한국기후변화학회,한국기후변화학회
소속3,한국수출입은행,한국수출입은행
소속3,한국해외인프라도시개발지원공사,한국해외인프라도시개발지원공사
소속3,서울대학교,서울대학교
소속3,Global Green Growth Institute (GGGI),글로벌 그린 성장 연구소 (GGGI)
소속3,한국물포럼,한국물포럼
소속3,유네스코물안보국제연구교육센터,유네스코물안보국제연구교육센터
소속3,APEC기후센터,APEC기후센터
소속3,수자원기술주식회사,수자원기술주식회사
소속3,평화엔지니어링,평화엔지니어링
소속3,한국종합엔지니어링,한국종합엔지니어링
소속3,에스지에이비엘씨㈜,에스지에이비엘씨㈜
소속3,포스코건설,포스코건설
소속3,DL이앤씨(구 대림산업),DL이앤씨(구 대림산업)
소속3,동부엔지니어링,동부엔지니어링
소속3,SK텔레콤,SK텔레콤
소속3,로커스솔루션,로커스솔루션
소속3,LG전자,LG전자
소속3,LS산전,LS산전
소속3,레오테크,레오테크
소속3,알피엠텍,알피엠텍
소속3,현대건설,현대건설
소속3,SK건설,SK건설
소속3,대우건설,대우건설
소속3,㈜건화,㈜건화
소속3,도화엔지니어링,도화엔지니어링
소속3,유신,유신
소속3,자인테크놀로지,자인테크놀로지
소속3,티앤씨코리아,티앤씨코리아
소속3,뉴토크코리아,뉴토크코리아
소속3,효림이앤아이,효림이앤아이
소속3,삼안,삼안
소속3,이산,이산
소속3,인화엔지니어링,인화엔지니어링
소속3,위지트,위지트
소속3,유솔,유솔
소속3,계룡건설,계룡건설
소속3,수성엔지니어링,수성엔지니어링
소속3,플로닉스,플로닉스
소속3,오투앤비,오투앤비
소속3,위플랫,위플랫
소속3,해외건설협회,해외건설협회
소속3,한국표준협회,한국표준협회
소속3,대한상하수도학회,대한상하수도학회
소속3,한국수자원학회,한국수자원학회
소속3,미래자원연구원,미래자원연구원
소속3,성균관대학교 스마트그리드연구단,성균관대학교 스마트그리드연구단
소속3,단국대학교,단국대학교
소속3,강원대학교,강원대학교
소속3,국토연구원,국토연구원
소속3,중부대학교,중부대학교
소속3,한국물학술단체연합회,한국물학술단체연합회
소속3,한국전자통신연구원,한국전자통신연구원
소속3,충남대학교 국제수자원연구소,충남대학교 국제수자원연구소
소속3,한국물순환협회,한국물순환협회
소속3,국제정책대학원대학교 (KDI),국제정책대학원대학교 (KDI)
소속3,국토교통부,국토교통부
소속3,환경부,환경부
소속3,경주시,경주시
소속3,대구광역시,대구광역시
소속3,외교부,외교부
소속3,경상북도,경상북도
소속3,반기문재단,반기문재단
소속3,주한호주대사관,주한호주대사관
소속3,과학기술정책연구원,과학기술정책연구원
소속3,고려대학교,고려대학교
소속3,라오스 환경자원부,라오스 환경자원부
소속3,UNDP Laos Office,유엔디피 라오스 사무소
소속3,메콩강위원회(MRC),메콩강위원회(MRC)
소속3,International Finance Center,국제 금융 센터
소속3,미얀마 농업축산관개부,미얀마 농업축산관개부
소속3,베트남 환경자원부,베트남 환경자원부
소속3,International Union for Conservation of Nature,자연 보전을 위한 국제 연합
소속3,캄보디아 수자원기상부,캄보디아 수자원기상부
소속3,메콩연구소(MI),메콩연구소(MI)
소속3,태국 수자원부,태국 수자원부
소속3,U.S. Agency for International Development,미국 국제 개발 협력국
소속3,Australia's Department of Foreign Affairs & Trade,호주 외무 및 무역부
소속3,Asian Disaster Preparedness Center,아시아 재난 대비 센터
소속3,Chulalongkorn University,철라롱꼬른 대학교
소속3,Global Water Partnership,글로벌 물 파트너십
소속3,공공기관 등,공공기관 등
소속3,주한태국대사관,주한태국대사관
소속3,주한라오스대사관,주한라오스대사관
소속3,주한베트남대사관,주한베트남대사관
소속3,주한캄보디아대사관,주한캄보디아대사관
소속3,주한미얀마대사관,주한미얀마대사관
소속3,주한미국대사관,주한미국대사관
소속3,주한대사관,주한대사관
소속3,연세대학교 ,연세대학교 
소속3,한국환경공단,한국환경공단
소속3,한국수자원조사기술원,한국수자원조사기술원
소속3,스마트물관리융합연구소,스마트물관리융합연구소
소속3,Green Climate Fund,녹색기후기금
소속3,유네스코 물안보 국제연구교육센터,유네스코 물안보 국제연구교육센터
소속3, GGGI,글로벌 녹색성장연구소
소속3,주한필리핀대사관,주한필리핀대사관
소속3,주한파키스탄대사관,주한파키스탄대사관
소속3,주한말레이시아대사관,주한말레이시아대사관
소속3,주한타지키스탄 대사관,주한타지키스탄 대사관
소속3,주한베트남사회주의공화국대사관,주한베트남사회주의공화국대사관
소속3,Lao National Mekong Committee,라오 국가 메콩 위원회
소속3,Ministry of natural resources and environment of laos,라오스의 자연 자원 및 환경부
소속3,Natural Resources and Environment,자연 자원 및 환경
소속3,TheGoverment of Mongolia,몽골 정부
소속3,미국수도협회,미국수도협회
소속3,World Bank,월드 뱅크
소속3,Baton Roge Water Company,배턴루지 수도 회사
소속3,American Water Works Association,미국수도협회
소속3,Global water utility Division,세계 수도사업 부서
소속3,Aliance for Global Water Adaptation(AGWA),국제 물 적응 연합(AGWA)
소속3,The Nature Conservancy,자연 보호 협회
소속3,"Republic of the Union of Myanmar, Ministry of 
Transport and Communications","미얀마 연방 공화국, 교통 통신부"
소속3,Ministry of Natural Resources and Environment,자연자원 및 환경부
소속3,"Ministry of Land Management, Water and Sanitation Services","토지 관리, 물 및 위생 서비스 부처"
소속3,ABAR,아바르
소속3,글로벌워터파트너십,국제 물 파트너십
소속3,Stockholm International Water Institute(SIWI),스톡홀름 국제 물 연구소 (SIWI)
소속3,GIWEH,지웨
소속3,State for Sustainability and the Environment,지속가능성 및 환경부
소속3,주필리핀 아랍에미레이트 대사,주필리핀 아랍에미레이트 대사
소속3,GGGI,글로벌 녹색성장연구소
소속3,EBRD,유럽 부흥 개발 은행
소속3,European Bank,유럽은행
소속3,Uzsuvtaminot JSC,우즈수브타미놋 주식회사
소속3,Ministry of water resources of the republic of uzbekistan,우즈베키스탄 공화국 수자원부
소속3,Kyiv City state,키이우 시 정부
소속3,Kyiv City State Administration,키이우 시 정부청
소속3,Ministry of Energy and Coal Industry Of Ukraine,우크라이나 에너지 및 석탄 산업부
소속3,Ministry of food and agriculture of ukraine ,우크라이나 식품 및 농업부
소속3,International Water Management Institute(IWMI),국제물관리연구소(IWMI)
소속3,REREEE,REREEE
소속3,인도 환경부,인도 환경부
소속3,"Otorita Ibu Kota Nusantara, Republik Indonesia",인도네시아 공화국 누산타라 수도청
소속3,National University Corporation,국립대학법인
소속3,RUNBLUE,런블루
소속3,Japan Water Forum,일본 워터 포럼
소속3,Ministry of Land Infrastructure transport and tourism,토지 인프라 교통 및 관광부
소속3,International Water Resources Association(IWRA),인터내셔널 워터 리소시에이션 (IWRA)
소속3,"CHANGJIANG WATER RESOURCES COMMISSION OF 
THE MINISTRY OF WTAER RESOURCES OF CHINA",중국 수자원부의 창장 수자원위원회
소속3,"Ministry of Water Resources, People's Republic of China",중화인민공화국 수자원부
소속3,캄보디아 환경부,캄보디아 환경부
소속3,Ministry of Water Resources and Meteorology(MOWRAM),물 자원 및 기상학부 (MOWRAM)
소속3,케냐 물위생관개부,케냐 물위생관개부
소속3,"Ministry of water,Sanitation and Irrigation of Kenya","케냐의 물, 위생, 및 관개부"
소속3,Ministry of Environment of Denmark,덴마크 환경부
소속3,키르기즈공화국 대통령 내각실,키르기즈공화국 대통령 내각실
소속3,"INTERNATIONAL FUND FOR SAVING 
THE ARAL SEA EXECUTIVE COMMITTEE",아랄해 구조 국제 기금 집행 위원회
소속3,UNESCO 동아시아지역사무국,유네스코 동아시아지역사무국
소속3,"Office of the National Water Resources, 
Office of the Prime Minister","국가 수자원 관리 사무소, 총리실"
소속3,DOLSAR Engineering,돌사르 엔지니어링
소속3,TOBB,터키 상공회의소
소속3,베올리아,베올리아
소속3,세계물위원회,세계물위원회
소속3,SUEX INTERNATIONAL,슈엑스 인터내셔널
소속3,World Water Council,월드 워터 컨실
소속3,OECD,경제협력개발기구
소속3,Metropolitan Waterworks&Sewerage System,메트로폴리탄 워터웍스 앤드 스위러지 시스템
소속3,주필리핀 대사관,주필리핀 대사관
소속3,Republic of the philippines Natioanl power Corporation,필리핀 공화국 국립 전력 회사
소속3,ADB,에이디비
소속3,MWSS,엠더블유에스에스
소속3,LOCAL WATER UTILITES ADMINISTRATION,로컬 워터 유틸리티즈 어드민이스트레이션
소속3,주필리핀대사관,주필리핀대사관
소속3,"Department of Environment and 
Natural Resources in Philippines ",필리핀 환경 및 자연 자원부
소속3,Asian Development Bank,아시안 개발 은행
소속3,SMC Infrastructure,SMC 인프라스트럭처
소속3,Aviation Security Group,항공 보안 그룹
소속3,Metropolitan waterworks & Sewerage System,메트로폴리탄 워터웍스 앤드 스위러지 시스템
소속3,주한 베트남 대사관,주한 베트남 대사관
소속3,Indonesian Embassy in SEOUL,서울의 인도네시아 대사관
소속3,대한민국 주재 베트남 사회주의공화국 대사관,대한민국 주재 베트남 사회주의공화국 대사관
소속3,Synergy Consulting,시너지 컨설팅
소속3,Allen & Overy,앨런 & 오버리
소속3,BGI,비지아이
소속3,Multiconsult,멀티컨설팅
소속3,SLR,에스엘알
소속3,AON,에이온
소속3,EY LLC,이와이 엘엘씨
소속3,EIB,이아이비
소속3,AIIB,에이아이아이비
소속3,K-SURE,케이-슈어
소속3,KDB,케이디비
소속3,KEXIM,케심
소속3,Clifford Chance,클리퍼드 찬스
소속3,Begiashvili & Co,베기아쉬빌리 앤 코
소속3,Mott MacDonald,모트 맥도날드
소속3,Artelia,아르텔리아
소속3,Marsh,마시
소속3,E&Y,이앤와이
소속3,MoESD,환경 및 지속 가능 발전부
소속3,"GEDF
(Georgian Energy Development Fund)",조지아 에너지 개발 기금
소속3,Shinhan,신한은행
소속3,Hana,하나은행
소속3,Woori,우리은행
소속3,KB,국민은행
소속3,Ministery of Energy (Power Division),에너지부 (파워 부문)
소속3,"Private Power and Infrastructure Board (PPIB)
Ministery of Energy (Power Division)",민간 전력 및 인프라 이사회 에너지부 (전력 부서)
소속3,"Central Power Purchasing Agency
(CPPA-G)
Ministery of Energy (Power Division)",중앙 전력 구매 기관 에너지 부 (전력 부서)
소속3,National Electric Power Regulatory Authority,국가 전력 규제 당국
소속3,National Electric Power Regulatory Authority (NEPRA),국가 전력 규제 당국 (NEPRA)
소속3,"Ministry of Finance
Azad Government of the State of Jammu & Kashmir (GOAJK)",잠무 & 카슈미르 주 아자드 정부 (GOAJK) 재무부
소속3,"Ministry of Electricity
Azad Government of the State of Jammu & Kashmir (GOAJK)",잠무 & 카슈미르 주 아자드 정부 (GOAJK) 전기부
소속3,WB,더블유비
소속3,Stantec,스탠텍
소속3,Australian Government,호주 정부
소속3,"Australian Government
(DFAT)",호주 정부 (DFAT)
소속3,주파푸아 뉴기니 대사관,주파푸아 뉴기니 대사관
성명,Dr. Kobamelo Dikogola,코바멜로 디코골라
성명,Dr. Kobamelo Dikogola,딕골라 박사
성명,Dr. Kobamelo Dikogola,딕골라 부국장
성명,Andriy Nikolayenko,안드리이 니콜라옌코
성명,김광기,김광기
성명,김성원,김성원
성명,변재일,변재일
성명,이주환,이주환
성명,엄태영,엄태영
성명,한정애,한정애
성명,임종성,임종성
성명,하승재,하승재
성명,Hani Sewilam,하니 세윌람
성명,Mark Harbers,마크 하버스
성명,Saroj Kumar Jha,사로즈 쿠마르 자
성명,Scott A. Spellmon,스콧 에이. 스펠몬
성명,Petteri Taalas,페테리 탈라스
성명,Ms. Armida Salsiah Alisjahbana,아르미다 살시아 알리스자바나
성명,Valentin Aich,발렌틴 아이히
성명,Paola Albrito,파올라 알브리토
성명,Basuki Hadimuljono,바수키 하디물조노
성명,Imam Santoso,이맘 산토소
성명,Endra Saleh Atmawidjaja,엔드라 살레 아트마위디자자
성명,Yasushi Furukawa,야스시 후루카와
성명,Akihiko Tanaka,아키히코 타나카
성명,Kenichi Kawamura,케니치 카와무라
성명,Toshio Koike,토시오 코이케
성명,Adelina C. Santos-Borja,아델리나 C. 산토스 보르하
성명,Subin Pinkayan,서빈 핑카얀
성명,Loic Fauchon,로익 포숀
성명,Ms. Audrey Azoulay,오드리 아주레이
성명,Ms. Elsa Pilichowski,엘사 필리초프스키
성명,엄우종,엄우종
성명,Masatsugu Asakawa,마사츠구 아사카와
성명,Fatima Yasmin,파티마 야스민
성명,Satoshi Ishii,사토시 이시이
성명,Lance Gore,랜스 고어
성명,Abdulaziz alshaibani,아브둘아지즈 알샤이바니
성명,Csaba Korosi,챠바 코로시
성명,Collen V. Kelapile,콜렌 V. 켈라파일
성명,Haya Rashed Al Khalifa,하야 라쉬드 알 칼리파
성명,Miroslav Lajcak,미로슬라브 라이차크
성명,Nassir Abdulaziz Al-Nasser,나싸르 압둘아지즈 알 나세르
성명,Oleksandr Koren,올렉산드르 코렌
성명,Anatolii Fedoruk,아나톨리 페도룩
성명,Mustafa NAYYEM,무스타파 나이엠
성명,Valeria Ivanova,발레리아 이바노바
성명,Oleksandr Krasnolutskyi,올렉산드르 크라스눌루츠키
성명,Ruslan Strilets,루슬란 스트릴레츠
성명,Oleksandr Prokudin,올렉산드르 프로쿠딘
성명,Anton Samoilenko,안톤 사모일렌코
성명,Volodymyr Bondarenko,볼로디미르 본다렌코
성명,Sergiy Taruta,세르기이 타루타
성명,Dmytro Pryputen,드미트로 프리푸튼
성명,Ihor Yaremenko,이호르 야레멘코
성명,Iryna Pletnova,아이리나 플렛노바
성명,Oleg Ganich,올레그 가니치
성명,Ihor Syrota,이호르 시로타
성명,Mr. Tjitte Nauta,쳇테 나우타
성명,Prof. Neil Grigg,프로페서 닐 그리그
성명,Mohammad Nasimul Haque,모하마드 나심울 하크
성명,Dr. Mara Tignino,마라 티니노
성명,Dr. Shie-Yui Liong,쉬 유이 리옹
성명,Dr. Ir. Firdaus Ali                    ,피르다우스 알리
성명,Ir. Jarot Widyoko,자롯 위디요코
성명,Prof. Kazumasa Ito,카즈마사 이토
성명,Prof. Ken'ichi Nakagami,켄이치 나카가미
성명,Dr. Lu Jinyou,루 진요
성명,Mr. Xinhua Tang,신화 탕 
성명,Dr. Ke Zhang,케 장
성명,Ms. Peng Jing,펭 징
성명,Mr. Zhao HAO,자오 하오
성명,Prof. Yun LI,윤 리
성명,LIu Handong,류한동
성명,Dr. Jie Liu,지에 리우
성명,Prof. Zhongjing Wang,중징 왕
성명,Zeng Xin,젱 신
성명,Prof. Mukand S. Babel,무칸드 에스. 바벨
성명,Prof. Seree Supratid,세리 수프라티드
성명,Dr. Philippe Gourbesville,필립 구르브즈빌
성명,유종일,유종일
성명,유병로,유병로
성명,서석호,서석호
성명,김주식,김주식
성명,김미주,김미주
성명,송영일 ,송영일
성명,Mr. Peter van der Linde,피 반 더 린더
성명,Ms. Lee Eun Ju,이은주
성명,Frodo van Oostveen,프로도 반 오스트벤
성명,Mr. Sean Tan,션 탄
성명,Mr. Jun Hong Kim,김준홍
성명,Mr Bae Gyung Un,배경운
성명,Mr. Liu Zhenghong,리우 젱홍
성명,Mr. Xingqiang Niu ,신치앙 뉴
성명,Mr. Huihui Yang,회회 양
성명,Mr. Dewen Yin,뒤웬 인
성명,Ju Yang,주 양
성명,Mr. Waqar Ahmad Khan,와카르 아흐마드 칸
성명,German C. Avengoza,제르만 C. 아벤고자
성명,Mr. Jose Victor Emmanuel A de Dios   ,호세 빅 엠마누엘 A 데 디오스
성명,Mr. Ramoncito Fernandez,라몬시토 페르난데즈
성명,Mr. Jeong-min Hong,홍정민
성명,H.E. Thongphath Inthavong,통파스 인타방
성명,Mr. Ngampsasong Muongmany,응암프사송 무옹매니
성명,Sengphasouk Xayavong,센프사숙 사야봉
성명,Ms. Hayati Binti Zainal,하야티 빈티 자이날
성명,Mr. Yusof Apdal,유소프 압달
성명,Mr. Tserenbat Namsrai ,체렌바트 남스라이
성명,H.E. Min Naung,민 나웅
성명,Sujit Haowlader,수짓 하울라더
성명,Dr. Duong Du BUI,둥 두 부이
성명,H.E. Basuki Hadimuljono,바수키 하디물조노
성명,Mr. LI Ge,리 게
성명,H.E. Ponh Sachak,폰 사차크
성명,Mr. Lertviroj Kowattana,럴트비로즈 코왓타나
성명,Dr. Somkiat Prajamwong,솜키아트 프라잠웡
성명,Mr. Chalermkiat Khongwichianwat,챌럼키아트 공위치안왓
성명,Jade Ysabel,제이드 이사벨
성명,Ms. Leonor Cleofas,레오노르 클레오파스
성명,Dr. Ramdeep SAH,람딥 사
성명,Dr. Bindu Lohani,빈두 로하니
성명,Mr. Ramesh Bhushal,라메쉬 부샬
성명,Dr. Anoulak Kittikhoun ,아눌락 키티쿤
성명,Dr. Batsuuri Jamiyansuren,바츠우리 자미얀수렌
성명,Mr. Salah Uddin,살라 우딘
성명,Dr. Nidal Salim,니달 살림
성명,Kosuke Terai,코스케 테라이
성명,Mr. Tom Soo,톰 수
성명,Mr. Callum Clench,칼럼 클렌치
성명,Mr. Guljamal Nurmuhamedova,굴자말 누르무하메도바
성명,Dr. Vadim Sokolov,바딤 소콜로프
성명,Dr. Firdaus Ali,피르다우스 알리
성명,Rini Natalia,리니 나탈리아
성명,Ms. Louise Whiting,루이즈 화이팅
성명,Mr. Brig Aslam Khan,브릭 아슬람 칸
성명,Mr. Julien Eyrard,줄리엔 에이라르드
성명,Mr. De Vivo,데 비보
성명,Mr. Eric TARDIEU,에릭 타르디유
성명,Dr. Alexandros K. Makarigakis,알렉산드로스 케이 마카리가키스
성명,Mr. Michael Wilson,마이클 윌슨
성명,Mr. Minsu Choi,최민수
성명,Mr. Sudipto Sarkar,수디프토 사르카르
성명,Ms. Neeta Pokhrel,니타 포크렐
성명,Phonepaseuth Phouliphanh,폰파슈트 푸리판
성명,Mr. Taqsem Khan,택섬 칸
성명,Mr. Nguyen Chi Nghia,응우옌 치 응히아
성명,Mr. Tiing Liang Moh,티잉 리앙 모
성명,Mr. Fahmi Hidayat,팜미 히다야트
성명,Harry M. Sungguh,해리 엠. 성구
성명,Dr. David Saganelidze,데이비드 사가넬리제
성명,Mr. Jing Guan,징 관
성명,Dr. Somsak Poothongchairit,솜삭 푸통차이릿
성명,Ms. Yolanda B. Gomez,요란다 B. 고메즈
성명,류상봉,류상봉
성명,조용덕,조용덕
성명,장석환,장석환
성명,김병은,김병은
성명,박희경,박희경
성명,박상영,박상영
성명,김홍상,김홍상
성명,박현주,박현주
성명,노수홍,노수홍
성명,김해용,김해용
성명,김호,김호
성명,서희정,서희정
성명,허경구,허경구
성명,류기희,류기희
성명,Frank Rijsberman,프랑크 리즈브르만
성명,남궁은,남궁은
